AÑO,CBML,CLASE_ACCIDENTE,DIRECCION,DIRECCION ENCASILLADA,DISEÑO,EXPEDIENTE,FECHA_ACCIDENTE,FECHA_ACCIDENTES,GRAVEDAD_ACCIDENTE,MES,NRO_RADICADO,NUMCOMUNA,BARRIO,COMUNA,LOCATION,X,Y
2015,1013,Caída Ocupante,CR 46 CL 43,CR  046   043  000 00000,Tramo de via,A000259731,21/10/2015 05:58:00,2015-10-21T10:58:00.000Z,Con heridos,10,1508668,10,Barrio Colón,La Candelaria,"[-75.5688011014, 6.24312304123]",834949.69,1182357.34
2015,1020,Choque,CR 43 A CL 29,CR  043 A   029  000 00000,Tramo de via,A000261725,05/11/2015 03:00:00,2015-11-05T08:00:00.000Z,Solo daños,11,1510621,10,San Diego,La Candelaria,"[-75.5693883283, 6.22870030622]",834880.17,1180762.02
2015,0205,Otro,CR 46 CL 37,CR  046   037  000 00000,Tramo de via,A000259739,21/10/2015 07:40:00,2015-10-21T12:40:00.000Z,Con heridos,10,1508691,02,La Francia,Santa Cruz,"[-75.5503911403, 6.29869502502]",837004.94,1188499.17
2015,0101,Atropello,CR 34 CL 112,CR  034   112  000 00000,Tramo de via,A000259752,21/10/2015 12:00:00,2015-10-21T17:00:00.000Z,Con heridos,10,1508694,01,Santo Domingo Savio No. 1,Popular,"[-75.5442195069, 6.30019383306]",837688.53,1188663.05
2015,1504,Choque,CR 50 CL 14,CR  050   014  000 00000,Tramo de via,A000259949,03/11/2015 06:16:00,2015-11-03T11:16:00.000Z,Solo daños,11,1510634,15,Santa Fé,Guayabal,"[-75.578180998, 6.21699243701]",833903.11,1179469.6
2015,1417,Choque,TV 7 A CL 30,TV  007 A   030  000 00000,Tramo de via,A000261734,05/11/2015 04:30:00,2015-11-05T09:30:00.000Z,Solo daños,11,1510646,14,La Florida,El Poblado,"[-75.561118009, 6.2047775959]",835788.3,1178113.02
2015,1105,Choque,CR 63 C CL 42 C,CR  063 C   042 C  000 00000,Tramo de via,A000259808,18/10/2015 04:40:00,2015-10-18T09:40:00.000Z,Solo daños,10,1508740,11,Los Conquistadores,Laureles Estadio,"[-75.5810144962, 6.24576066323]",833598.49,1182652.97
2015,1009,Choque,CR 57 CL 44,CR  057   044  000 00000,Tramo de via,A000261730,04/11/2015 04:46:00,2015-11-04T09:46:00.000Z,Solo daños,11,1510650,10,La Alpujarra,La Candelaria,"[-75.5752597216, 6.24685341912]",834235.89,1182772.04
2015,1018,Choque,CL 57 CR 46,CL  057   046  000 00000,Tramo de via,A000259726,21/10/2015 07:00:00,2015-10-21T12:00:00.000Z,Con heridos,10,1508766,10,Villa Nueva,La Candelaria,"[-75.5624178534, 6.25341454089]",835659.53,1183493.83
2015,0705,Choque,CR 80 CL 66,CR  080   066  000 00000,Tramo de via,A000261644,05/11/2015 07:00:00,2015-11-05T12:00:00.000Z,Con heridos,11,1510724,07,Facultad de Minas U. Nacional,Robledo,"[-75.5931430393, 6.27330476643]",832264.64,1185703.9
2015,0605,Caída Ocupante,CR 75 CL 95,CR  075   095  000 00000,Tramo de via,A000259773,21/10/2015 07:20:00,2015-10-21T12:20:00.000Z,Con heridos,10,1508814,06,La Esperanza,Doce de Octubre,"[-75.5793699432, 6.29207113497]",833795.21,1187775.54
2015,1012,Choque,CL 34 CR 48,CL  034   048  000 00000,Interseccion,A000260064,22/10/2015 06:20:00,2015-10-22T11:20:00.000Z,Con heridos,10,1508822,10,Perpetuo Socorro,La Candelaria,"[-75.5728091884, 6.23524559562]",834503.52,1181487.16
2015,1013,Choque,CL 47 CR 46,CL  047   046  000 00000,Tramo de via,A000261847,05/11/2015 02:45:00,2015-11-05T07:45:00.000Z,Solo daños,11,1510754,10,Barrio Colón,La Candelaria,"[-75.5669098459, 6.24621406933]",835160.02,1182698.69
2015,0410,Atropello,CR 49 CL 77,CR  049   077  000 00000,Tramo de via,A000261787,06/11/2015 08:00:00,2015-11-06T13:00:00.000Z,Con heridos,11,1510765,04,Campo Valdés No. 1,Aranjuez,"[-75.5585471916, 6.2708056281]",836093.43,1185416.49
2015,0908,Choque,CR 22 CL 48,CR  022   048  000 00000,Tramo de via,A000261820,07/11/2015 10:20:00,2015-11-07T15:20:00.000Z,Con heridos,11,1510768,09,Miraflores,Buenos Aires,"[-75.5490924205, 6.23670663275]",837129.46,1181641.4
2015,0512,Choque,CR 62 CL 89,CR  062   089  000 00000,Tramo de via,A000261905,08/11/2015 06:17:00,2015-11-08T11:17:00.000Z,Con heridos,11,1510817,05,Oleoducto,Castilla,"[-75.5692972079, 6.28057704691]",834906.54,1186500.82
2015,0516,Atropello,CR 64 C CL 78,CR  064 C   078  000 00000,Tramo de via,A000261999,08/11/2015 07:00:00,2015-11-08T12:00:00.000Z,Con heridos,11,1510835,05,Terminal de Transporte,Castilla,"[-75.5730009697, 6.27614313661]",834495.16,1186011.49
2015,0911,Choque,CR 36 CL 41,CR  036   041  000 00000,Interseccion,A000261997,08/11/2015 04:20:00,2015-11-08T09:20:00.000Z,Con heridos,11,1510848,09,Gerona,Buenos Aires,"[-75.5603314988, 6.23844011536]",835885.82,1181836.65
2015,1116,Choque,CR 74 CL 49 B,CR  074   049 B  000 00000,Tramo de via,A000261985,08/11/2015 02:20:00,2015-11-08T07:20:00.000Z,Con heridos,11,1510849,11,U.D. Atanasio Girardot,Laureles Estadio,"[-75.5904642503, 6.25985565504]",832556.88,1184215.23
